alkanes,,,,,,,,
system,dCC,Vbnp,V?,V(r),lv1,lv2,lv3,l?v1
Furan,1.35,17.148,-16.152,0.996,8.513,-2.127,-1.948,
,1.35,17.148,-16.152,0.996,8.513,-2.127,-1.948,
Tetrahydropyran,1.41,18.643,-17.824,0.82,7.221,-1.743,-1.607,
,1.41,18.643,-17.824,0.82,7.221,-1.743,-1.607,
THF,1.42,17.243,-16.445,0.798,7.028,-1.7,-1.542,
,1.42,17.243,-16.445,0.798,7.027,-1.7,-1.541,
Dioxolone,1.4,17.883,-17.006,0.877,7.556,-1.828,-1.643,
,1.42,17.497,-16.677,0.82,7.036,-1.711,-1.547,
Oxirane,1.41,14.329,-13.432,0.898,6.974,-1.804,-1.486,
,1.41,14.329,-13.431,0.898,6.971,-1.803,-1.485,
Ethylene carbonate,1.18,20.205,-18.726,1.48,14.132,-3.802,-3.787,
,1.35,20.041,-19.01,1.032,8.575,-2.123,-1.939,
,1.35,20.04,-19.009,1.031,8.573,-2.122,-1.938,
,1.42,18.672,-17.803,0.868,7.012,-1.672,-1.54,
,1.42,18.671,-17.803,0.868,7.009,-1.672,-1.539,
Furfural,1.2,18.935,-17.549,1.385,13.155,-3.511,-3.431,
,1.34,19.311,-18.268,1.043,8.738,-2.193,-2.015,
,1.36,20.107,-19.101,1.006,8.354,-2.078,-1.897,
Ethylene glycol,1.42,15.347,-14.523,0.825,7.198,-1.753,-1.605,
,1.42,15.347,-14.522,0.825,7.198,-1.753,-1.605,
NNDMAacetylCl,2.9,16.63,-16.68,-0.05,0.243,-0.025,-0.01,
,,,,,,,,
C-S bonded,,,,,,,,
system,dCS,Vbnp,V?,V(r),lv1,lv2,lv3,
thiophene,1.72,18.667,-17.945,0.723,4.641,-1.056,-0.917,
,1.72,18.667,-17.945,0.723,4.641,-1.056,-0.917,
thioxathene,1.78,27.181,-26.539,0.642,4.073,-0.882,-0.785,
,1.78,27.181,-26.539,0.642,4.073,-0.882,-0.785,
,1.83,17.804,-17.246,0.559,3.609,-0.764,-0.674,
thiozolidine,1.84,17.804,-17.253,0.552,3.558,-0.744,-0.639,
tetrathiafulvalene,1.75,25.759,-25.064,0.694,4.312,-0.963,-0.835,
,1.75,25.759,-25.064,0.694,4.312,-0.963,-0.835,
,1.75,25.759,-25.064,0.694,4.312,-0.963,-0.835,
,1.75,25.759,-25.064,0.694,4.312,-0.963,-0.835,
,1.77,28.322,-27.649,0.674,4.122,-0.929,-0.787,
,1.77,28.322,-27.649,0.674,4.122,-0.929,-0.787,
,1.77,28.322,-27.649,0.674,4.122,-0.929,-0.787,
,1.77,28.322,-27.649,0.674,4.122,-0.929,-0.787,
benzoyl isothiocyanate,1.59,21.146,-20.188,0.958,6.201,-1.508,-1.507,
thiaindans,1.77,23.101,-22.459,0.642,4.123,-0.9,-0.789,
,1.84,21.553,-20.988,0.566,3.591,-0.752,-0.669,
thiirane,1.81,15.95,-15.297,0.652,3.655,-0.84,-0.747,
,1.81,15.95,-15.297,0.652,3.655,-0.84,-0.747,
lenthionine,1.81,26.066,-25.444,0.621,3.784,-0.792,-0.724,
,1.82,25.982,-25.361,0.621,3.743,-0.797,-0.722,
,1.83,25.949,-25.339,0.61,3.67,-0.779,-0.703,
,1.83,26.17,-25.564,0.606,3.663,-0.764,-0.696,
thietane,1.84,17.219,-16.667,0.552,3.489,-0.736,-0.649,
,1.84,17.219,-16.667,0.552,3.489,-0.736,-0.649,
thiane,1.82,19.781,-19.215,0.566,3.709,-0.776,-0.706,
,1.82,19.781,-19.215,0.566,3.709,-0.776,-0.706,
terthienyl,1.72,26.013,-25.284,0.729,4.634,-1.056,-0.915,
,1.72,26.013,-25.284,0.729,4.634,-1.056,-0.915,
,1.74,30.044,-29.331,0.713,4.477,-1.014,-0.868,
,1.74,30.044,-29.331,0.713,4.477,-1.014,-0.868,
,1.74,28.371,-27.659,0.713,4.49,-1.016,-0.872,
,1.74,28.371,-27.658,0.713,4.49,-1.016,-0.872,
CO2….H2S complex,3.31,11.71,-11.693,0.018,0.201,-0.017,-0.014,
TSC-S,2.28,15.521,-15.218,0.304,1.208,-0.225,-0.11,
,,,,,,,,
N-N bonded,,,,,,,,
system,dNN,Vbnp,V?,V(r),lv1,lv2,lv3,
N2,1.09,13.593,-11.683,1.91,19.221,-5.267,-5.267,
N2F4,1.5,21.362,-20.526,0.836,5.982,-1.249,-1.038,
N2O4,1.7,18.722,-18.165,0.556,3.426,-0.599,-0.547,
N3CH3_dimer,2.92,16.322,-16.25,0.072,0.206,-0.054,-0.048,
N3H,1.13,15.433,0.072,1.776,16.844,-4.811,-4.811,
,1.17,0,0.072,1.637,14.681,-4.177,-4.177,
hydrazine,1.47,11.59,15.433,0.722,6.334,-1.5,-1.329,
Aminimide_1,1.45,39.776,-38.956,0.82,6.721,-1.596,-1.495,
Aminimide_2,1.45,34.614,-33.806,0.808,6.618,-1.565,-1.46,
,,,,,,,,
O-O bonded,,,,,,,,
system,dOO,Vbnp,V?,V(r),lv1,lv2,lv3,
CH3COO_dimer,2.97,20.343,-20.341,0.002,0.163,-0.016,-0.012,
CrO5,1.38,24.809,-23.803,1.006,8.247,-2.165,-1.838,
,1.38,24.806,-23.8,1.006,8.242,-2.164,-1.836,
H2S2O8,1.42,30.159,-29.23,0.929,7.384,-1.84,-1.739,
O2,1.19,14.253,-12.709,1.544,15.084,-4.178,-3.776,
O2F2,1.3,18.614,-17.361,1.252,10.756,-2.687,-2.644,
O2H2,1.43,12.639,-11.847,0.793,7.055,-1.828,-1.573,
O3,1.23,16.356,-14.928,1.428,13.062,-3.395,-3.327,
cyclopentanone_dimer,3.29,21.649,-21.607,0.042,0.208,-0.045,-0.035,
,,,,,,,,
S-S bonded,,,,,,,,
system,dSS,Vbnp,V?,V(r),lv1,lv2,lv3,
lenthionine,2.08,27.49,-26.889,0.601,2.938,-0.61,-0.586,
S2Cl2,1.98,24.137,-23.38,0.757,3.596,-0.766,-0.754,
[(CH3)3P+-SCH3...CH3S-...H2O,2.07,26.309,-25.731,0.578,2.97,-0.614,-0.597,
H2S2O3,1.89,24.283,-23.422,0.861,4.373,-0.957,-0.954,
H2S2O6,2.19,28.356,-27.791,0.565,2.387,-0.342,-0.329,
DHSred,2.08,24.73,-24.152,0.579,2.918,-0.624,-0.56,
C4H10S2O2,2.07,24.41,-23.814,0.596,3.009,-0.626,-0.614,
H2O...(CH3)3P...CH3SSCH3...H2O,2.07,27.05,-26.473,0.577,2.972,-0.614,-0.597,
TSS-S,2.38,29.428,-29.152,0.276,1.576,-0.297,-0.267,
,,,,,,,,
alkanes,,,,,,,,
system,dcc ,r(r),lr1,lr2,lr3,Ñ2r,,
ethane,1.53,0.238,-0.433,-0.433,0.336,-0.53,,
propane,1.53,0.24,-0.441,-0.437,0.34,-0.537,,
,1.53,0.24,-0.441,-0.437,0.34,-0.537,,
butane,1.53,0.242,-0.447,-0.44,0.344,-0.543,,
,1.53,0.24,-0.44,-0.437,0.339,-0.538,,
,1.53,0.24,-0.44,-0.437,0.339,-0.537,,
decane,1.53,0.241,-0.445,-0.44,0.343,-0.542,,
,1.53,0.241,-0.446,-0.44,0.343,-0.542,,
,1.53,0.241,-0.446,-0.44,0.344,-0.542,,
,1.53,0.241,-0.445,-0.44,0.343,-0.542,,
,1.53,0.241,-0.445,-0.44,0.343,-0.542,,
,1.53,0.241,-0.446,-0.44,0.343,-0.542,,
,1.53,0.241,-0.446,-0.44,0.344,-0.542,,
,1.53,0.24,-0.439,-0.437,0.339,-0.537,,
,1.53,0.24,-0.439,-0.437,0.339,-0.537,,
,,,,,,,,
cycloalkanes,,,,,,,,
system,dcc ,r(r),lr1,lr2,lr3,Ñ2r,,
cyclopropane,1.5,0.236,-0.440,-0.288,0.314,-0.413,,
cyclobutane,1.55,0.233,-0.420,-0.417,0.344,-0.493,,
cyclohexane,1.53,0.24,-0.439,-0.437,0.343,-0.533,,
adamentane,1.54,0.238,-0.433,-0.433,0.344,-0.523,,
cubane,1.56,0.229,-0.410,-0.409,0.349,-0.470,,
,,,,,,,,
sterically crowded systems,,,,,,,,
system,dcc ,r(r),lr1,lr2,lr3,Ñ2r,,
Pbtth,1.69,0.176,-0.288,-0.280,0.324,-0.244,,
Ptho,1.69,0.179,-0.294,-0.292,0.316,-0.270,,
Bptd,1.65,0.191,-0.320,-0.318,0.327,-0.312,,
Ahod,1.66,0.191,-0.320,-0.318,0.327,-0.312,,
Dddcpa,1.70,0.173,-0.280,-0.280,0.322,-0.238,,
Ttca,1.73,0.164,-0.261,-0.259,0.306,-0.214,,
Dddcada,1.76,0.156,-0.243,-0.240,0.297,-0.186,,
Hdbec,1.67,0.184,-0.305,-0.305,0.323,-0.287,,
Tdtca,1.75,0.159,-0.248,-0.247,0.299,-0.196,,
"1,2-diamino-o-carborane-1",1.79,0.138,-0.215,-0.067,0.273,-0.009,,
"1,2-diamino-o-carborane-2",1.82,0.133,-0.204,-0.056,0.267,-0.007,,
,,,,,,,,
alkenes,,,,,,,,
system,dcc ,r(r),lr1,lr2,lr3,Ñ2r,,
ethene,1.32,0.344,-0.734,-0.55,0.256,-1.028,,
Butadiene,1.33,0.341,-0.727,-0.549,0.264,-1.011,,
,1.46,0.272,-0.541,-0.501,0.335,-0.707,,
hexatriene,1.33,0.339,-0.723,-0.548,0.266,-1.005,,
,1.34,0.336,-0.716,-0.548,0.274,-0.99,,
,1.45,0.275,-0.547,-0.503,0.333,-0.717,,
octatetraene,1.33,0.339,-0.722,-0.547,0.266,-1.003,,
,1.34,0.335,-0.712,-0.547,0.276,-0.984,,
,1.45,0.278,-0.555,-0.505,0.331,-0.73,,
,1.45,0.276,-0.549,-0.504,0.333,-0.72,,
decapentaene,1.33,0.339,-0.722,-0.547,0.266,-1.003,,
,1.34,0.335,-0.711,-0.547,0.276,-0.981,,
,1.35,0.333,-0.708,-0.546,0.278,-0.976,,
,1.45,0.279,-0.558,-0.506,0.33,-0.734,,
,1.45,0.276,-0.55,-0.504,0.333,-0.721,,
,,,,,,,,
PBH,,,,,,,,
system,dcc ,r(r),lr1,lr2,lr3,Ñ2r,,
benzene,1.39,0.308,-0.635,-0.531,0.308,-0.858,,
naphthalene,1.37,0.320,-0.669,-0.540,0.295,-0.915,,
,1.37,0.320,-0.669,-0.540,0.295,-0.915,,
,1.37,0.320,-0.669,-0.540,0.295,-0.915,,
,1.37,0.320,-0.669,-0.540,0.295,-0.915,,
,1.42,0.295,-0.598,-0.518,0.320,-0.796,,
,1.42,0.295,-0.598,-0.518,0.320,-0.796,,
,1.42,0.294,-0.596,-0.519,0.324,-0.792,,
,1.42,0.294,-0.596,-0.519,0.324,-0.792,,
,1.42,0.294,-0.595,-0.516,0.328,-0.783,,
,1.42,0.294,-0.596,-0.519,0.324,-0.792,,
,1.42,0.294,-0.596,-0.519,0.324,-0.792,,
Anthracene,1.36,0.325,-0.682,-0.543,0.289,-0.936,,
,1.39,0.307,-0.631,-0.530,0.312,-0.849,,
,1.43,0.288,-0.581,-0.511,0.324,-0.768,,
,1.43,0.288,-0.581,-0.513,0.328,-0.766,,
,1.43,0.287,-0.576,-0.508,0.332,-0.752,,
biphenyl,1.39,0.309,-0.636,-0.531,0.307,-0.860,,
,1.39,0.308,-0.635,-0.532,0.308,-0.858,,
,1.40,0.304,-0.624,-0.522,0.314,-0.832,,
,1.48,0.262,-0.513,-0.482,0.343,-0.653,,
biphenylene,1.37,0.318,-0.659,-0.538,0.292,-0.904,,
,1.38,0.311,-0.643,-0.524,0.303,-0.864,,
,1.42,0.293,-0.593,-0.507,0.320,-0.780,,
,1.42,0.304,-0.633,-0.538,0.336,-0.835,,
,1.51,0.243,-0.447,-0.433,0.349,-0.530,,
,,,,,,,,
annulene,,,,,,,,
system,dcc ,r(r),lr1,lr2,lr3,Ñ2r,,
14 annulene,1.35,0.306,-0.627,-0.527,0.308,-0.846,,
,1.35,0.304,-0.619,-0.525,0.309,-0.835,,
,1.35,0.293,-0.594,-0.499,0.321,-0.772,,
,1.36,0.293,-0.594,-0.498,0.318,-0.774,,
,1.44,0.306,-0.627,-0.527,0.308,-0.846,,
,1.45,0.304,-0.619,-0.525,0.309,-0.835,,
,1.46,0.293,-0.594,-0.498,0.318,-0.774,,
,1.46,0.293,-0.594,-0.499,0.321,-0.772,,
16 annulene,1.34,0.333,-0.706,-0.54,0.276,-0.971,,
,1.34,0.332,-0.703,-0.535,0.277,-0.961,,
,1.45,0.275,-0.545,-0.499,0.332,-0.712,,
,1.46,0.271,-0.534,-0.494,0.334,-0.695,,
,,,,,,,,
carbon clusters,,,,,,,,
system,dcc ,r(r),lr1,lr2,lr3,Ñ2r,,
ovalene,1.40,0.306,-0.63,-0.529,0.312,-0.846,,
,1.43,0.29,-0.586,-0.514,0.328,-0.772,,
,1.44,0.285,-0.573,-0.51,0.329,-0.754,,
,1.41,0.299,-0.61,-0.524,0.321,-0.812,,
,1.42,0.292,-0.592,-0.516,0.327,-0.781,,
,1.44,0.285,-0.572,-0.509,0.329,-0.752,,
,1.42,0.293,-0.593,-0.517,0.326,-0.784,,
,1.44,0.286,-0.574,-0.51,0.331,-0.753,,
,1.41,0.299,-0.609,-0.523,0.322,-0.811,,
,1.41,0.298,-0.608,-0.522,0.32,-0.81,,
,1.37,0.317,-0.659,-0.537,0.298,-0.897,,
,1.36,0.328,-0.691,-0.543,0.285,-0.949,,
C60,1.45,0.276,-0.543,-0.478,0.336,-0.686,,
,1.39,0.309,-0.631,-0.518,0.305,-0.844,,
,,,,,,,,
alkyne,,,,,,,,
system,dcc ,r(r),lr1,lr2,lr3,Ñ2r,,
acetylene,1.20,0.410,-0.657,-0.657,0.085,-1.228,,
diacetylene,1.20,0.404,-0.646,-0.646,0.099,-1.193,,
,1.38,0.299,-0.570,-0.570,0.293,-0.848,,
triacetylene,1.20,0.403,-0.647,-0.647,0.102,-1.193,,
,1.21,0.398,-0.636,-0.636,0.108,-1.163,,
,1.37,0.303,-0.575,-0.575,0.288,-0.863,,
tetracetylene,1.20,0.403,-0.648,-0.648,0.103,-1.193,,
,1.21,0.396,-0.637,-0.637,0.113,-1.161,,
,1.36,0.308,-0.581,-0.581,0.284,-0.877,,
,1.37,0.304,-0.577,-0.577,0.287,-0.867,,
penta acetylene,1.36,0.309,-0.583,-0.583,0.282,-0.883,,
,1.21,0.396,-0.637,-0.637,0.114,-1.161,,
,1.20,0.403,-0.649,-0.649,0.103,-1.194,,
,1.37,0.305,-0.578,-0.578,0.287,-0.869,,
,1.21,0.395,-0.638,-0.638,0.117,-1.159,,
,1.36,0.309,-0.583,-0.583,0.282,-0.883,,
,1.21,0.396,-0.637,-0.637,0.114,-1.161,,
,1.37,0.305,-0.578,-0.578,0.287,-0.869,,
,1.20,0.403,-0.649,-0.649,0.103,-1.194,,
hexa acetylene,1.22,0.394,-0.638,-0.638,0.119,-1.158,,
,1.36,0.310,-0.583,-0.583,0.282,-0.885,,
,1.21,0.396,-0.638,-0.638,0.115,-1.161,,
,1.36,0.311,-0.585,-0.585,0.281,-0.889,,
,1.37,0.305,-0.578,-0.578,0.287,-0.870,,
,1.20,0.403,-0.649,-0.649,0.103,-1.194,,
,1.22,0.394,-0.638,-0.638,0.119,-1.158,,
,1.36,0.310,-0.583,-0.583,0.282,-0.885,,
,1.21,0.396,-0.638,-0.638,0.115,-1.161,,
,1.37,0.305,-0.578,-0.578,0.287,-0.870,,
,1.20,0.403,-0.649,-0.649,0.103,-1.194,,
hepta acetylene,1.22,0.394,-0.639,-0.639,0.121,-1.157,,
,1.35,0.311,-0.586,-0.586,0.280,-0.891,,
,1.22,0.394,-0.639,-0.639,0.120,-1.157,,
,1.36,0.310,-0.584,-0.584,0.282,-0.886,,
,1.35,0.311,-0.586,-0.586,0.280,-0.891,,
,1.22,0.394,-0.639,-0.639,0.120,-1.157,,
,1.36,0.310,-0.584,-0.584,0.282,-0.886,,
,1.21,0.396,-0.638,-0.638,0.115,-1.161,,
,1.37,0.305,-0.578,-0.578,0.287,-0.870,,
,1.20,0.403,-0.649,-0.649,0.103,-1.195,,
,1.21,0.396,-0.638,-0.638,0.115,-1.161,,
,1.37,0.305,-0.578,-0.578,0.287,-0.870,,
,1.20,0.403,-0.649,-0.649,0.103,-1.195,,
octa acetylene,1.22,0.394,-0.639,-0.639,0.122,-1.157,,
,1.35,0.312,-0.586,-0.586,0.280,-0.892,,
,1.22,0.394,-0.639,-0.639,0.120,-1.158,,
,1.35,0.312,-0.587,-0.587,0.279,-0.894,,
,1.36,0.310,-0.584,-0.584,0.281,-0.887,,
,1.22,0.396,-0.638,-0.638,0.115,-1.161,,
,1.22,0.394,-0.639,-0.639,0.122,-1.157,,
,1.35,0.312,-0.586,-0.586,0.280,-0.892,,
,1.22,0.394,-0.639,-0.639,0.120,-1.158,,
,1.36,0.310,-0.584,-0.584,0.281,-0.887,,
,1.22,0.396,-0.638,-0.638,0.115,-1.161,,
,1.37,0.305,-0.579,-0.579,0.287,-0.871,,
,1.20,0.403,-0.649,-0.649,0.103,-1.195,,
,1.37,0.305,-0.579,-0.579,0.287,-0.871,,
,1.20,0.403,-0.649,-0.649,0.103,-1.195,,
nona acetylene,1.22,0.393,-0.639,-0.639,0.122,-1.156,,
,1.35,0.312,-0.587,-0.587,0.279,-0.895,,
,1.22,0.393,-0.639,-0.639,0.122,-1.157,,
,1.35,0.312,-0.586,-0.586,0.280,-0.893,,
,1.35,0.312,-0.587,-0.587,0.279,-0.895,,
,1.22,0.393,-0.639,-0.639,0.122,-1.157,,
,1.35,0.312,-0.586,-0.586,0.280,-0.893,,
,1.22,0.394,-0.639,-0.639,0.120,-1.158,,
,1.36,0.310,-0.584,-0.584,0.281,-0.887,,
,1.21,0.396,-0.638,-0.638,0.115,-1.161,,
,1.37,0.305,-0.579,-0.579,0.287,-0.871,,
,1.20,0.403,-0.649,-0.649,0.103,-1.195,,
,1.22,0.394,-0.639,-0.639,0.120,-1.158,,
,1.36,0.310,-0.584,-0.584,0.281,-0.887,,
,1.21,0.396,-0.638,-0.638,0.115,-1.161,,
,1.37,0.305,-0.579,-0.579,0.287,-0.871,,
,1.20,0.403,-0.649,-0.649,0.103,-1.195,,
,,,,,,,,
carbon rings,,,,,,,,
system,dcc ,r(r),lr1,lr2,lr3,Ñ2r,,
C2,1.3,0.325,-0.629,-0.415,0.198,-0.846,,
C6,1.32,0.325,-0.531,-0.483,0.213,-0.801,,
C8,1.25,0.375,-0.640,-0.582,0.221,-1.001,,
,1.39,0.287,-0.521,-0.443,0.251,-0.713,,
C10,1.28,0.350,-0.605,-0.601,0.211,-0.995,,
C12,1.23,0.389,-0.651,-0.627,0.149,-1.129,,
,1.37,0.300,-0.556,-0.530,0.272,-0.814,,
C14,1.28,0.353,-0.618,-0.614,0.212,-1.020,,
C16,1.37,0.301,-0.558,-0.554,0.285,-0.827,,
,1.22,0.396,-0.651,-0.641,0.126,-1.166,,
C20,1.36,0.306,-0.570,-0.567,0.283,-0.855,,
,1.22,0.394,-0.645,-0.640,0.127,-1.158,,
,,,,,,,,
heterocycles,,,,,,,,
system,dcc ,r(r),lr1,lr2,lr3,Ñ2r,,
DBN,1.53,0.243,-0.454,-0.445,0.345,-0.554,,
,1.53,0.242,-0.448,-0.442,0.349,-0.541,,
,1.53,0.24,-0.447,-0.439,0.347,-0.539,,
,1.53,0.237,-0.432,-0.429,0.341,-0.52,,
,1.52,0.252,-0.489,-0.465,0.353,-0.601,,
porphyrin,1.43,0.289,-0.586,-0.505,0.331,-0.76,,
,1.39,0.307,-0.642,-0.535,0.314,-0.863,,
,1.39,0.309,-0.642,-0.532,0.305,-0.87,,
,1.46,0.276,-0.55,-0.488,0.346,-0.693,,
,1.39,0.307,-0.642,-0.535,0.314,-0.863,,
,1.46,0.276,-0.55,-0.488,0.346,-0.693,,
,1.39,0.309,-0.642,-0.532,0.305,-0.87,,
,1.35,0.331,-0.69,-0.538,0.281,-0.948,,
,1.36,0.321,-0.664,-0.525,0.292,-0.898,,
,1.39,0.309,-0.642,-0.532,0.305,-0.87,,
aziridine,1.48,0.245,-0.463,-0.331,0.318,-0.476,,
cynogen,1.39,0.294,-0.575,-0.575,0.298,-0.851,,
pyramidopyramidine,1.4,0.311,-0.649,-0.55,0.327,-0.873,,
,1.42,0.299,-0.627,-0.545,0.338,-0.834,,
benzonitrile,1.44,0.273,-0.528,-0.499,0.293,-0.734,,
,1.4,0.304,-0.628,-0.521,0.312,-0.837,,
,1.39,0.31,-0.64,-0.535,0.306,-0.868,,
,1.39,0.308,-0.634,-0.534,0.309,-0.86,,
furfural,1.42,0.286,-0.562,-0.483,0.321,-0.725,,
,1.36,0.326,-0.688,-0.532,0.29,-0.93,,
,1.36,0.327,-0.69,-0.524,0.285,-0.93,,
,1.46,0.279,-0.587,-0.516,0.354,-0.748,,
ethylene glycol,1.51,0.259,-0.527,-0.488,0.36,-0.655,,
tetrathiafulavalene,1.33,0.337,-0.705,-0.512,0.264,-0.953,,
,1.34,0.327,-0.679,-0.475,0.272,-0.883,,
thiaindans,1.39,0.308,-0.633,-0.527,0.308,-0.852,,
,1.39,0.306,-0.627,-0.522,0.308,-0.84,,
,1.4,0.305,-0.622,-0.521,0.317,-0.826,,
,1.39,0.307,-0.628,-0.522,0.306,-0.844,,
,1.39,0.305,-0.627,-0.524,0.309,-0.842,,
,1.39,0.309,-0.634,-0.524,0.306,-0.852,,
,1.53,0.24,-0.439,-0.436,0.343,-0.532,,
,1.51,0.249,-0.471,-0.455,0.343,-0.582,,
dithianodithiine,1.52,0.245,-0.453,-0.451,0.346,-0.558,,
,1.34,0.329,-0.677,-0.489,0.277,-0.89,,
,1.53,0.242,-0.451,-0.443,0.366,-0.528,,
thiatane,1.54,0.239,-0.438,-0.436,0.342,-0.532,,
thiane,1.53,0.242,-0.445,-0.443,0.344,-0.544,,
,1.53,0.24,-0.44,-0.437,0.343,-0.534,,
SeC3Se,1.27,0.358,-0.628,-0.628,0.199,-1.057,,
SC3S,1.27,0.357,-0.617,-0.617,0.195,-1.04,,
NCCP,1.38,0.299,-0.577,-0.577,0.289,-0.866,,
C5S,1.29,0.346,-0.623,-0.623,0.213,-1.034,,
,1.26,0.366,-0.635,-0.635,0.185,-1.084,,
,1.28,0.353,-0.62,-0.62,0.205,-1.036,,
,,,,,,,,
"cation,anion and radicals",,,,,,,,
system,dcc ,r(r),lr1,lr2,lr3,Ñ2r,,
cyclopropenyl cation,1.36,0.314,-0.54,-0.456,0.294,-0.703,,
tropellium cation,1.39,0.309,-0.638,-0.559,0.312,-0.884,,
benzene-1-ylium,1.32,0.337,-0.643,-0.548,0.217,-0.974,,
,1.43,0.27,-0.506,-0.431,0.296,-0.642,,
,1.39,0.31,-0.637,-0.533,0.304,-0.866,,
propan-1-ylium,1.39,0.305,-0.616,-0.535,0.298,-0.852,,
,1.69,0.158,-0.251,-0.107,0.263,-0.095,,
propan-2-ylium,1.44,0.288,-0.562,-0.528,0.292,-0.799,,
2-methylpropan-2-ylium,1.46,0.278,-0.541,-0.513,0.309,-0.745,,
,1.46,0.278,-0.539,-0.512,0.309,-0.742,,
,1.46,0.277,-0.536,-0.511,0.309,-0.738,,
acetylene cation,1.19,0.342,-0.34,-0.34,0.144,-0.536,,
ethen-1-ylium,1.25,0.385,-0.775,-0.623,0.34,-1.058,,
cyclopentadienyl anion,1.41,0.291,-0.584,-0.467,0.315,-0.736,,
,1.41,0.291,-0.585,-0.468,0.315,-0.738,,
benzen-1-ide,1.42,0.287,-0.528,-0.518,0.298,-0.747,,
,1.4,0.302,-0.614,-0.512,0.309,-0.817,,
,1.39,0.304,-0.626,-0.517,0.31,-0.833,,
acetate,1.57,0.227,-0.434,-0.41,0.363,-0.481,,
ethylene carbonate,1.53,0.251,-0.49,-0.47,0.363,-0.596,,
ethyn-1-ide,1.24,0.385,-0.712,-0.712,0.212,-1.212,,
ethan-1-ide,1.54,0.222,-0.392,-0.346,0.302,-0.436,,
2-oxopropan-1-ide,1.38,0.311,-0.658,-0.481,0.299,-0.84,,
,1.55,0.234,-0.445,-0.425,0.354,-0.516,,
benzene_radical,1.37,0.315,-0.637,-0.542,0.291,-0.889,,
,1.4,0.301,-0.612,-0.511,0.31,-0.812,,
,1.39,0.307,-0.632,-0.527,0.309,-0.851,,
3-methylbut-2-enenitrile radical,1.31,0.344,-0.705,-0.535,0.236,-1.005,,
,1.37,0.303,-0.57,-0.554,0.276,-0.847,,
,1.51,0.249,-0.471,-0.453,0.338,-0.586,,
,1.51,0.245,-0.459,-0.444,0.338,-0.565,,
allyl_radical,1.38,0.312,-0.647,-0.531,0.299,-0.879,,
vinyl_radical,1.3,0.352,-0.732,-0.555,0.228,-1.059,,
,,,,,,,,
multiple type bonded,,,,,,,,
system,dcc ,r(r),lr1,lr2,lr3,Ñ2r,,
dihydroindene,1.39,0.309,-0.634,-0.53,0.307,-0.856,,
,1.39,0.306,-0.628,-0.524,0.309,-0.842,,
,1.4,0.309,-0.637,-0.532,0.318,-0.851,,
,1.39,0.307,-0.63,-0.526,0.309,-0.848,,
,1.39,0.306,-0.628,-0.524,0.309,-0.842,,
,1.39,0.309,-0.634,-0.53,0.307,-0.856,,
,1.51,0.248,-0.465,-0.452,0.344,-0.572,,
,1.51,0.248,-0.465,-0.452,0.344,-0.572,,
,1.54,0.234,-0.425,-0.424,0.343,-0.505,,
,1.54,0.234,-0.425,-0.424,0.343,-0.505,,
isoprene,1.34,0.339,-0.724,-0.543,0.268,-0.999,,
,1.47,0.268,-0.531,-0.492,0.34,-0.683,,
,1.33,0.34,-0.723,-0.547,0.264,-1.006,,
,1.5,0.251,-0.474,-0.46,0.339,-0.595,,
2-pentene,1.5,0.251,-0.476,-0.46,0.336,-0.6,,
,1.33,0.342,-0.732,-0.537,0.262,-1.006,,
,1.5,0.253,-0.479,-0.465,0.34,-0.604,,
,1.53,0.236,-0.431,-0.427,0.339,-0.52,,
hex_1_ene_3_yne,1.43,0.278,-0.539,-0.511,0.306,-0.745,,
,1.33,0.339,-0.725,-0.541,0.264,-1.002,,
,1.2,0.401,-0.64,-0.625,0.097,-1.167,,
,1.46,0.261,-0.484,-0.48,0.308,-0.656,,
,1.53,0.235,-0.432,-0.424,0.339,-0.518,,
"hexa_1,5_dien_3_yne",1.43,0.28,-0.543,-0.513,0.303,-0.753,,
,1.33,0.339,-0.723,-0.542,0.265,-1,,
,1.21,0.4,-0.654,-0.621,0.104,-1.171,,
,1.43,0.28,-0.543,-0.513,0.303,-0.753,,
,1.33,0.339,-0.723,-0.542,0.265,-1,,
,,,,,,,,
organometalic and hypervalent,,,,,,,,
system,dcc ,r(r),lr1,lr2,lr3,Ñ2r,,
h3-CrCl3,1.4,0.285,-0.456,-0.384,0.298,-0.542,,
metallacyclobutane,1.42,0.289,-0.51,-0.48,0.31,-0.68,,
ferrocene,1.42,0.289,-0.574,-0.456,0.314,-0.717,,
Bis(benzene)chromium(0),1.41,0.292,-0.585,-0.474,0.311,-0.747,,
C3H4Li2,1.5,0.236,-0.441,-0.299,0.317,-0.423,,
,1.53,0.214,-0.334,-0.232,0.293,-0.273,,
C6H6_CrCO3,1.41,0.296,-0.595,-0.491,0.311,-0.775,,
Si2C5H2,1.38,0.315,-0.657,-0.518,0.302,-0.873,,
,1.42,0.287,-0.565,-0.498,0.32,-0.744,,
,1.42,0.287,-0.565,-0.498,0.32,-0.744,,
,1.46,0.254,-0.408,-0.389,0.309,-0.487,,
,1.46,0.254,-0.408,-0.389,0.309,-0.487,,
Ge2C5H2,1.38,0.312,-0.648,-0.511,0.305,-0.854,,
,1.42,0.286,-0.559,-0.489,0.319,-0.729,,
,1.42,0.286,-0.559,-0.489,0.319,-0.729,,
,1.46,0.261,-0.427,-0.423,0.314,-0.537,,
